com.samsung.health.food_info,6307003,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2025-07-03 03:28:08.136,2025-07-03 03:28:08.136,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,OOh3/TRIp1,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,8ee63d5d-5532-4a8c-9d93-d9deca6c4deb,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,OOh3/TRIp1,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,e38760ec-a689-4015-822b-e2f8647afac6,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,OOh3/TRIp1,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,6c6ba732-5544-4359-9fdc-9cb71b798328,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,OOh3/TRIp1,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,363c9d55-8137-4db0-a7b3-2a2b691eff35,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,OOh3/TRIp1,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,3c258201-444c-46c5-a54a-5f46aa142d15,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,OOh3/TRIp1,g,1.295,,com.sec.android.app.shealth,9.14,3.7,443d4bb2-417c-4c01-b770-d1651b215185,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,OOh3/TRIp1,g,0.005,,com.sec.android.app.shealth,0.09,88.5,9f8a31f6-d9eb-455e-bd27-acb9c52b8714,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,OOh3/TRIp1,g,0.0,,com.sec.android.app.shealth,0.0,,d58f8a5d-36b6-430f-99ed-cba3545a9ef0,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,OOh3/TRIp1,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,1450f431-2cb7-48ed-abb7-6069c3501cca,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,OOh3/TRIp1,g,3.067,,com.sec.android.app.shealth,11.42,2.0,b6c6ed3a-2447-4c4f-8103-c1b8b4fff080,1,
70.0,0.0,0.0,,0.0,"140 kcal, Per 11 chips",,fatsecret-57324,1,210.0,1.0,8.0,2018-07-10 20:32:47.650,2018-07-10 20:32:47.650,,2.0,,0.0,Nacho Cheesier Tortilla Chips(Doritos),0.0,,2.0,140.0,serving,,1nlD1Z6VIo,oz,1.0,,com.sec.android.app.shealth,16.0,,1b49a061-8dff-46c2-9345-da58d3200cf0,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2018-07-10 20:09:56.282,2018-07-10 20:09:56.282,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,1nlD1Z6VIo,g,3.067,,com.sec.android.app.shealth,11.42,2.0,f0b1e28e-f83e-4b89-99a2-b7da23c4c727,1,
