com.samsung.health.oxygen_saturation.raw,6307003,1
start_time,binning_data,update_time,create_time,is_integrated,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2026-01-14 06:36:00.000,898c0dcb-2c97-4c4e-aeb4-59853d557e1b.binning_data.json,2026-01-14 08:35:50.998,2026-01-14 08:35:50.998,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-14 08:35:00.000,898c0dcb-2c97-4c4e-aeb4-59853d557e1b,
2026-01-14 08:35:00.000,b21fe61c-8773-466a-a184-b5456c115d4b.binning_data.json,2026-01-14 12:44:30.646,2026-01-14 12:44:30.646,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-14 12:20:00.000,b21fe61c-8773-466a-a184-b5456c115d4b,
2026-01-16 05:48:00.000,4f57ec79-ba96-4628-aa64-b0108e2cc890.binning_data.json,2026-01-16 10:29:22.767,2026-01-16 10:29:22.767,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-16 10:05:00.000,4f57ec79-ba96-4628-aa64-b0108e2cc890,
2026-01-17 07:15:00.000,ea9fbc22-719d-44a3-82da-e8553908dd23.binning_data.json,2026-01-17 16:11:55.438,2026-01-17 16:11:55.438,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-17 15:41:00.000,ea9fbc22-719d-44a3-82da-e8553908dd23,
2026-01-18 07:25:00.000,62fa4379-f132-48d2-9e25-bf301b41ba0a.binning_data.json,2026-01-18 16:58:00.401,2026-01-18 16:58:00.401,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-18 16:22:00.000,62fa4379-f132-48d2-9e25-bf301b41ba0a,
2026-01-20 06:04:00.000,caca10c2-fdfc-4b7b-a10d-d23186acb507.binning_data.json,2026-01-20 10:34:25.603,2026-01-20 10:34:25.603,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-20 10:18:00.000,caca10c2-fdfc-4b7b-a10d-d23186acb507,
2026-01-21 06:46:00.000,c3d8348e-5582-482e-86f9-56e6b1191cdc.binning_data.json,2026-01-21 11:30:28.539,2026-01-21 11:30:28.539,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-21 11:30:00.000,c3d8348e-5582-482e-86f9-56e6b1191cdc,
2026-01-22 06:41:00.000,cb02f151-cea5-4729-992f-163be249de22.binning_data.json,2026-01-22 13:25:14.571,2026-01-22 13:25:14.571,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-22 12:58:00.000,cb02f151-cea5-4729-992f-163be249de22,
2026-01-24 06:00:00.000,3a4e4e4b-2be0-47ff-a59b-2a0db0add62b.binning_data.json,2026-01-25 01:02:57.357,2026-01-25 01:02:57.357,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-24 10:02:00.000,3a4e4e4b-2be0-47ff-a59b-2a0db0add62b,
2026-01-25 06:59:00.000,cd5b3870-703e-4285-80f7-5665ed6660d8.binning_data.json,2026-01-25 16:19:53.101,2026-01-25 16:19:53.101,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-01-25 15:47:00.000,cd5b3870-703e-4285-80f7-5665ed6660d8,
