com.samsung.shealth.activity.goal,6307003,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2018-07-11 18:04:20.889,2018-07-11 18:04:20.889,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332260880,ad4bd176-09c2-4ce4-b41a-d8dc04ffe00b,
2018-07-16 18:02:38.186,2018-07-16 18:02:38.186,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531764158181,c4d753d4-dece-4446-8915-564fb0a069b3,
2018-11-05 07:00:00.410,2018-11-05 07:00:00.410,30,UTC-0700,1nlD1Z6VIo,com.sec.android.app.shealth,1541401200393,8a4edb2c-58db-446d-bf21-ad9509d0b683,
2019-03-11 06:00:00.448,2019-03-11 06:00:00.448,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1552284000443,0619750f-e8cf-4f86-9a5c-e2f32e6e961d,
2019-07-23 17:04:55.002,2019-07-23 17:04:55.002,30,UTC-0500,1nlD1Z6VIo,com.sec.android.app.shealth,1563901494999,85304335-85bc-409c-b4d1-6654c610796b,
2019-07-24 23:30:22.307,2019-07-24 23:30:22.307,30,UTC-0500,1nlD1Z6VIo,com.sec.android.app.shealth,1564011022304,f6eac324-7bab-48c3-b04a-b70eb8342161,
2019-07-24 23:31:25.343,2019-07-24 23:31:25.343,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1564011085340,c422e0ff-b0e9-4bf2-a61f-9e557c65e38d,
2019-07-24 23:30:08.178,2019-07-24 23:30:08.178,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1564011008176,03ff2578-d3d3-414c-b968-3bc79d60d483,
2019-07-24 23:42:21.212,2019-07-24 23:42:21.212,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1564011741210,9b5c64a2-ad7a-4fe7-bcbd-0350652abb22,
2019-07-24 23:28:52.128,2019-07-24 23:28:52.128,30,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1564010932126,b0f75c10-4837-4313-a92d-6b96a58fd169,
2019-07-24 23:42:08.455,2019-07-24 23:42:08.455,30,UTC-0500,1nlD1Z6VIo,com.sec.android.app.shealth,1564011728451,842b6906-731e-41e2-aefd-073f2728e981,
2019-07-24 23:29:24.267,2019-07-24 23:29:24.267,30,UTC-0500,1nlD1Z6VIo,com.sec.android.app.shealth,1564010964253,d290b674-961b-4101-b0ac-1d65049725ca,
2019-05-31 03:19:00.281,2019-05-31 03:19:00.281,30,UTC-0400,1nlD1Z6VIo,com.sec.android.app.shealth,1559272740276,9250a796-be36-4162-8600-b75303c5881a,
2019-05-30 03:27:21.525,2019-05-30 03:27:21.525,30,UTC-0500,1nlD1Z6VIo,com.sec.android.app.shealth,1559186841523,d9cc1a83-99b4-4feb-8606-8ef06fdaf072,
2019-11-03 12:55:57.781,2019-11-03 12:55:57.781,30,UTC-0700,1nlD1Z6VIo,com.sec.android.app.shealth,1572785757763,4994a7fd-beea-481e-9896-d5712c06ae7e,
2021-04-09 03:05:47.707,2021-04-09 03:05:47.707,60,UTC-1000,YijWzsdisX,com.sec.android.app.shealth,1617937547703,5e0b2346-4663-4839-a027-b7daec5e85fa,
2021-04-09 03:05:47.088,2021-04-09 03:05:47.088,60,UTC-1000,YijWzsdisX,com.sec.android.app.shealth,1617937547074,fdb42e0d-0d05-4339-b581-0f23f138bdab,
