com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2024-04-07 20:41:01.454,,,1,,2024-04-07 20:41:02.031,2024-04-07 20:41:02.031,,weight_first_body_check,,,UTC-0400,,KccLfCO56W,com.sec.android.app.shealth,,tracker.weight,2024-04-07 20:41:01.454,6f11fd2d-3317-4388-a57f-b470e57bfb07,
,2024-04-08 00:20:38.159,10001,,1,,2024-04-08 00:28:57.839,2024-04-08 00:28:57.839,,exercise_goal_first_achieve,,,UTC-0400,,KccLfCO56W,com.sec.android.app.shealth,6d0dc7ec-8b4b-4b0b-b2e7-301c8ff540c8,tracker.exercise,2024-04-08 00:28:57.584,9b285bd8-28c0-4be1-a2d8-232fb7589bb2,
,2024-04-08 05:12:20.902,,,1,,2024-04-08 05:12:20.907,2024-04-08 05:12:20.907,,sleep_goal_first_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-04-08 05:12:20.902,55c13418-9e86-4c1a-9dfc-3950e8bb55aa,
,2024-04-16 00:00:00.000,,,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,2024-05-08 18:01:47.434,2024-05-08 18:01:47.434,,sleep_coaching_completion_penguin,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-05-06 00:00:00.000,fc293a43-1593-482e-afe2-9533c15484cd,
,2024-05-16 04:00:00.000,,100003,1,,2024-10-24 04:31:51.911,2024-05-16 23:33:33.860,All steps,step_milestone_10k_steps,,,UTC-0400,7509.6962931299695,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.pedometer,2024-05-17 03:59:59.999,3d4ed636-617c-40d6-9f18-7b50c6fff135,
,2024-05-09 00:00:00.000,,,1,fddd9b15-81a9-4d69-8502-ff683c84a2f6,2024-06-05 17:56:23.413,2024-06-05 17:56:23.413,,sleep_coaching_completion_lion,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-05-29 00:00:00.000,439ae656-e068-4d03-b010-761906a1a300,
1,2024-06-30 04:00:00.000,,,1,,2024-06-30 16:17:31.876,2024-06-30 16:17:31.876,,sleep_good_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-07-01 03:59:59.999,4c5993cd-a0d9-4ea8-843b-8430b91282f5,
1,2024-07-08 04:00:00.000,,,1,,2024-07-08 14:17:03.631,2024-07-08 14:17:03.631,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-07-09 03:59:59.999,f1b0c1c2-40c8-4a4e-929d-41e2ff398cf6,
1,2024-07-10 04:00:00.000,,,1,,2024-07-10 13:15:04.981,2024-07-10 13:15:04.981,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-07-11 03:59:59.999,ab28cd19-dda8-42d2-aaff-adf39e0abcca,
1,2024-07-11 04:00:00.000,,,1,,2024-07-11 15:39:50.123,2024-07-11 15:39:50.123,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-07-12 03:59:59.999,4a2efa48-61a8-478c-a0ec-61c810bf61ab,
