com.samsung.shealth.cycle.daily_temperature.raw,6307003,2
start_time,custom,hr_rri,update_time,create_time,temperature,time_offset,deviceuuid,pkg_name,tracked_by,end_time,datauuid
2024-04-08 03:28:00.000,,93f260e8-ae5c-43b6-ad38-4a2d1e7bcf15.hr_rri.json,2024-04-08 05:12:14.566,2024-04-08 05:12:14.566,93f260e8-ae5c-43b6-ad38-4a2d1e7bcf15.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-08 05:12:00.000,93f260e8-ae5c-43b6-ad38-4a2d1e7bcf15,
2024-04-08 07:55:00.000,,8e04cccf-88cc-459c-870d-d740e91fe039.hr_rri.json,2024-04-08 13:07:28.063,2024-04-08 13:07:28.063,8e04cccf-88cc-459c-870d-d740e91fe039.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-08 13:07:00.000,8e04cccf-88cc-459c-870d-d740e91fe039,
2024-04-09 03:08:00.000,,b39408ad-c5b9-4830-bc5c-64de5c862a91.hr_rri.json,2024-04-09 09:58:08.767,2024-04-09 09:58:08.767,b39408ad-c5b9-4830-bc5c-64de5c862a91.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-09 09:58:00.000,b39408ad-c5b9-4830-bc5c-64de5c862a91,
2024-04-10 03:00:00.000,,00fe7c84-94a7-48e3-98a6-8cf51cff04df.hr_rri.json,2024-04-10 09:46:20.074,2024-04-10 09:46:20.074,00fe7c84-94a7-48e3-98a6-8cf51cff04df.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-10 09:18:00.000,00fe7c84-94a7-48e3-98a6-8cf51cff04df,
2024-04-11 02:43:00.000,,16c1d2e4-ea7d-419b-897e-b373bf21de32.hr_rri.json,2024-04-11 10:16:03.789,2024-04-11 10:16:03.789,16c1d2e4-ea7d-419b-897e-b373bf21de32.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-11 10:03:00.000,16c1d2e4-ea7d-419b-897e-b373bf21de32,
2024-04-12 02:49:00.000,,101cfcc8-2fb5-49b5-9dc9-7d10a26c6c36.hr_rri.json,2024-04-12 10:19:09.377,2024-04-12 10:19:09.377,101cfcc8-2fb5-49b5-9dc9-7d10a26c6c36.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-12 10:19:00.000,101cfcc8-2fb5-49b5-9dc9-7d10a26c6c36,
2024-04-13 03:09:00.000,,a0b69521-0c7d-4d3f-922f-583a5db7b83b.hr_rri.json,2024-04-13 10:00:48.896,2024-04-13 10:00:48.896,a0b69521-0c7d-4d3f-922f-583a5db7b83b.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-13 10:00:00.000,a0b69521-0c7d-4d3f-922f-583a5db7b83b,
2024-04-14 02:26:00.000,,99e278c5-f449-4161-b01d-6b10fda326ca.hr_rri.json,2024-04-14 04:42:58.166,2024-04-14 04:42:58.166,99e278c5-f449-4161-b01d-6b10fda326ca.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-14 04:40:00.000,99e278c5-f449-4161-b01d-6b10fda326ca,
2024-04-14 04:49:00.000,,2addfb3b-3dc7-42af-a556-3f85030af934.hr_rri.json,2024-04-14 10:15:42.495,2024-04-14 10:15:42.495,2addfb3b-3dc7-42af-a556-3f85030af934.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-14 10:15:00.000,2addfb3b-3dc7-42af-a556-3f85030af934,
2024-04-15 03:08:00.000,,9c8bec51-08c6-440f-b65d-69da37431ca1.hr_rri.json,2024-04-15 10:05:58.987,2024-04-15 10:05:58.987,9c8bec51-08c6-440f-b65d-69da37431ca1.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-15 10:05:00.000,9c8bec51-08c6-440f-b65d-69da37431ca1,
