com.samsung.shealth.goal_history,6307003,1
update_time,create_time,type,time_offset,deviceuuid,pkg_name,set_time,controller_id,datauuid
2018-07-10 20:36:46.402,2018-07-10 20:36:46.402,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531255006224,goal.weightmanagement,28237d38-69fa-452b-9639-8efe3e6c76e5,
2018-07-11 18:04:20.866,2018-07-11 18:04:20.866,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332260697,goal.activity,a1e5bc28-3a34-4a0f-81d7-fabb594901ff,
2018-07-11 18:05:23.300,2018-07-11 18:05:23.300,2,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332323284,goal.sleep,8269704c-563e-4e8e-ab91-8373bd8acfcc,
2018-07-11 18:04:21.176,2018-07-11 18:04:21.176,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332261170,goal.nutrition,981a1f3b-869b-43d6-abca-d9ad4cccc495,
2018-07-11 18:05:24.578,2018-07-11 18:05:24.578,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332324550,goal.weightmanagement,bf69a21d-8776-4d78-9c4a-ae9e38f496da,
2018-07-11 18:05:25.229,2018-07-11 18:05:25.229,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332325193,goal.weightmanagement,cc1ecce6-9d06-4a8e-a446-f134ad67519f,
2018-07-11 18:04:21.659,2018-07-11 18:04:21.659,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332261656,goal.sleep,e3b68fba-33c1-4b5b-ae2e-e5e2c9b0a5a5,
2018-07-11 18:04:21.211,2018-07-11 18:04:21.211,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332261207,goal.sleep,f14307c9-ae69-483d-a84a-137741cdffe8,
2018-07-11 18:04:21.632,2018-07-11 18:04:21.632,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332261630,goal.nutrition,e9ebc436-af22-49bd-811f-4f05a0a16702,
2018-07-11 18:05:23.225,2018-07-11 18:05:23.225,2,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332323204,goal.activity,95562621-9ccd-418d-839f-4b09192ef19c,
2018-07-11 18:03:56.392,2018-07-11 18:03:56.392,2,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332236362,goal.weightmanagement,2b05cb6a-e368-4f42-a34d-ddeebbb16781,
2018-07-11 18:05:23.265,2018-07-11 18:05:23.265,2,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531332323250,goal.nutrition,0b935d8a-ae2f-4b59-836e-6254a66e969e,
2018-07-16 18:02:38.179,2018-07-16 18:02:38.179,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531764158089,goal.activity,acd1300b-d949-4ca6-b185-c48f441360dc,
2018-07-16 18:02:18.004,2018-07-16 18:02:18.004,2,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531764137975,goal.weightmanagement,df643c9b-c764-47d0-949f-3c94123a1fa7,
2018-07-16 18:02:38.522,2018-07-16 18:02:38.522,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531764158513,goal.nutrition,04168015-e355-4301-82c7-e28cbe6a7144,
2018-07-16 18:03:16.690,2018-07-16 18:03:16.690,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1531764196688,goal.sleep,d2e96976-10db-43d8-abca-08552e5b35ef,
2019-01-14 21:12:10.531,2019-01-14 21:12:10.531,1,UTC-0700,1nlD1Z6VIo,com.sec.android.app.shealth,1547500330497,goal.weightmanagement,3d9eb300-2e1a-4537-ad4f-f8e828898eae,
2019-07-24 23:35:31.583,2019-07-24 23:35:31.583,2,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1564011331532,goal.weightmanagement,7bcf73b8-b3ec-47f4-9c44-693346238c44,
2019-07-24 23:35:33.701,2019-07-24 23:35:33.701,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1564011333678,goal.weightmanagement,cc65c5c8-8a20-4858-a9c3-0788a7cf1b16,
2019-09-05 02:36:53.414,2019-09-05 02:36:53.414,1,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1567651013360,goal.weightmanagement,45759f16-ef0f-4504-ace9-df1e1e2a0484,
2021-04-09 03:05:47.074,2021-04-09 03:05:47.074,1,UTC-1000,YijWzsdisX,com.sec.android.app.shealth,1617937546055,goal.activity,3b975745-4b1d-4ca0-bf66-ab784e9473d7,
2021-04-09 03:05:47.703,2021-04-09 03:05:47.703,1,UTC-1000,YijWzsdisX,com.sec.android.app.shealth,1617937546697,goal.activity,fe98c442-434e-4faa-a987-0fc23e9b66e8,
