com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62660010,null,10,62660010,2024-04-15 22:45:56.138,2024-04-15 22:45:56.138,2,0,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,6f763305-35fb-406b-811c-dfc2ebe2e93e,0,
62660010,null,11,62660010,2024-04-17 10:17:23.227,2024-04-15 22:45:56.138,2,0,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,1e05c3a0-058c-42b8-ae35-2e1bb840df89,3,
62660010,null,2,62660010,2024-04-16 18:01:48.456,2024-04-15 22:45:56.138,2,0,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,8aa076f8-8673-4665-9993-b0f77387176d,1,
62660010,null,3,62660010,2024-04-15 22:45:56.138,2024-04-15 22:45:56.138,2,0,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,bd05bb80-c6e4-4a31-8708-41bdbd87aa2e,0,
62660010,null,5,62660010,2024-04-15 22:45:56.138,2024-04-15 22:45:56.138,2,0,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,5572839e-b1f1-4bd2-9e13-8f15e208acd3,0,
62660010,null,6,62660010,2024-04-15 22:45:56.138,2024-04-15 22:45:56.138,2,0,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,b2e411ce-7a27-48db-a6c0-cf5c336f6ee9,0,
62660010,null,9,62660010,2024-04-15 22:45:56.138,2024-04-15 22:45:56.138,2,0,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,4a8abc19-b082-4485-9811-ea8b8e181139,0,
62660010,null,10,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,1,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,9d1c32e1-0bce-4506-a468-4aba52b40724,0,
62660010,null,11,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,1,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,ccdbbb0a-44c1-463f-827e-0125831bfb86,0,
62660010,null,2,62660010,2024-04-19 09:43:47.809,2024-04-15 22:45:56.139,2,1,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,890afe1a-fc73-4d50-83d3-69235951eaa5,3,
62660010,null,3,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,1,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,7321e9d4-d78d-4aea-be48-26a952eb9db5,0,
62660010,null,5,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,1,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,6220889d-2bb1-4c4b-854f-ab04ecf54b6a,0,
62660010,null,6,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,1,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,57f89526-f532-4a09-a515-3593e4c35909,0,
62660010,null,9,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,1,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,1b55e418-cdc2-49c7-bad9-0145237e24ea,0,
62660010,null,10,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,2,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,48aea26a-2b6a-4448-ba72-c54d3c6aaaea,0,
62660010,null,11,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,2,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,4abbc0d4-76ab-4b76-92f9-c92fbb015c60,0,
