"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.688125000E-3,3.621198840E1,-8.168044200E1,9.713334903E2,9.390999756E2,NaN,NaN,1.830173011E-2,5.948899841E1,8.316630363E0,-1.000000000E0
2.309468384E0,3.621211038E1,-8.168057896E1,9.557448923E2,9.235114746E2,1.820000052E0,3.447000122E2,2.052140162E-2,1.594531536E1,2.236381721E1,1.200000000E1
3.308960415E0,3.621211548E1,-8.168055504E1,9.596737423E2,9.274403076E2,1.230000019E0,3.437999878E2,2.249721548E-2,1.082917786E1,1.611322021E1,1.500000000E1
4.309674477E0,3.621211609E1,-8.168053303E1,9.593022980E2,9.270688477E2,1.000000000E0,3.425000000E2,2.440918282E-2,8.559189796E0,1.293679619E1,1.900000000E1
5.308983591E0,3.621211937E1,-8.168051211E1,9.619121761E2,9.296787109E2,1.519999981E0,3.452999878E2,2.527482794E-2,7.529231071E0,1.185317993E1,2.000000000E1
6.309706716E0,3.621212587E1,-8.168050680E1,9.605167942E2,9.282833252E2,1.220000029E0,3.391000061E2,2.716329252E-2,6.521246433E0,1.036774063E1,2.000000000E1
7.309452288E0,3.621214028E1,-8.168051794E1,9.575371721E2,9.253037109E2,1.860000014E0,3.317000122E2,2.865441165E-2,6.012215137E0,9.514204025E0,2.000000000E1
8.309035413E0,3.621215242E1,-8.168052500E1,9.582667813E2,9.260333252E2,1.429999948E0,3.335000000E2,3.004715502E-2,5.829070568E0,8.989272118E0,2.100000000E1
9.308931975E0,3.621216364E1,-8.168053190E1,9.580841593E2,9.258507080E2,1.549999952E0,3.351000061E2,3.165174643E-2,5.528188705E0,7.954216957E0,2.000000000E1
1.030902072E1,3.621217709E1,-8.168053838E1,9.563850580E2,9.241516113E2,1.529999971E0,3.426000061E2,3.303859755E-2,4.998878479E0,7.327871799E0,1.900000000E1
1.130896651E1,3.621218907E1,-8.168054268E1,9.583026576E2,9.260692139E2,1.549999952E0,3.426000061E2,3.421506157E-2,4.689992428E0,6.728457928E0,1.600000000E1
1.230911265E1,3.621219962E1,-8.168054367E1,9.577587116E2,9.255252686E2,1.139999986E0,3.507000122E2,3.524434267E-2,4.905109406E0,6.602101326E0,1.600000000E1
1.330896822E1,3.621220870E1,-8.168054144E1,9.585034642E2,9.262700195E2,1.159999967E0,3.556000061E2,3.649247166E-2,5.276150227E0,6.545789719E0,1.500000000E1
1.430879968E1,3.621221969E1,-8.168053861E1,9.592334467E2,9.270000000E2,1.389999986E0,1.600000024E0,3.781052731E-2,5.585690022E0,6.465393066E0,1.500000000E1
1.530922187E1,3.621223154E1,-8.168053825E1,9.600781735E2,9.278447266E2,1.450000048E0,3.556000061E2,3.920414172E-2,6.242467880E0,6.434868813E0,1.500000000E1
1.630891796E1,3.621224308E1,-8.168054431E1,9.591787552E2,9.269453125E2,1.509999990E0,3.417999878E2,4.050440287E-2,6.660322666E0,6.445679188E0,1.600000000E1
1.730953854E1,3.621225028E1,-8.168055573E1,9.591217402E2,9.268883057E2,1.480000019E0,3.277999878E2,4.191460741E-2,7.287092686E0,6.519713879E0,1.600000000E1
1.830894197E1,3.621226104E1,-8.168056405E1,9.593943174E2,9.271608887E2,1.620000005E0,3.262000122E2,4.367832102E-2,7.824069977E0,6.636369228E0,1.500000000E1
1.930965994E1,3.621227407E1,-8.168057526E1,9.589472880E2,9.267138672E2,1.750000000E0,3.293999939E2,4.514183856E-2,8.324995995E0,6.681806087E0,1.200000000E1
2.030884437E1,3.621228227E1,-8.168058802E1,9.598880748E2,9.276546631E2,1.519999981E0,3.307999878E2,4.648152862E-2,8.941250801E0,6.736757755E0,1.300000000E1
2.130883858E1,3.621228958E1,-8.168059989E1,9.602415820E2,9.280081787E2,1.460000038E0,3.248999939E2,4.764455379E-2,9.461204529E0,6.700699329E0,1.300000000E1
2.230951234E1,3.621229886E1,-8.168060587E1,9.611838386E2,9.289504395E2,1.389999986E0,3.263999939E2,4.891798156E-2,1.032941818E1,6.727813244E0,1.300000000E1
2.330969640E1,3.621230893E1,-8.168061263E1,9.611234090E2,9.288900146E2,1.379999995E0,3.333999939E2,5.075114548E-2,1.111654472E1,6.873440266E0,1.200000000E1
2.430969280E1,3.621232363E1,-8.168062188E1,9.610851944E2,9.288518066E2,1.769999981E0,3.375000000E2,5.266312867E-2,1.129835701E1,6.725986004E0,1.300000000E1
2.530933088E1,3.621233903E1,-8.168063136E1,9.610783518E2,9.288449707E2,1.659999967E0,3.350000000E2,5.493264208E-2,1.174581814E1,6.474868298E0,1.500000000E1
2.630919858E1,3.621235843E1,-8.168063922E1,9.610527115E2,9.288193359E2,1.899999976E0,3.362000122E2,5.605322965E-2,1.260020828E1,6.898114681E0,1.400000000E1
2.730943077E1,3.621236693E1,-8.168064593E1,9.613791228E2,9.291457520E2,1.460000038E0,3.387000122E2,5.692419096E-2,1.430434799E1,7.406410694E0,1.400000000E1
2.830915046E1,3.621237469E1,-8.168064725E1,9.616164266E2,9.293830566E2,1.419999957E0,3.437999878E2,5.801567542E-2,1.439756489E1,6.992595673E0,1.300000000E1
2.930948030E1,3.621238151E1,-8.168065600E1,9.618367573E2,9.296033936E2,1.509999990E0,3.390000000E2,5.932770854E-2,1.357932186E1,6.790520668E0,1.300000000E1
3.030974343E1,3.621238883E1,-8.168066747E1,9.617754699E2,9.295421143E2,1.509999990E0,3.327000122E2,6.082816733E-2,1.411690331E1,6.652718067E0,1.200000000E1
3.130970499E1,3.621239592E1,-8.168068170E1,9.620626912E2,9.298293457E2,1.600000024E0,3.241000061E2,6.342157948E-2,1.381112957E1,6.532037735E0,8.000000000E0
3.230975421E1,3.621239512E1,-8.168071059E1,9.618197508E2,9.295864258E2,1.620000005E0,3.166000061E2,6.516410715E-2,1.432927608E1,7.435140133E0,1.000000000E1
3.330900368E1,3.621239673E1,-8.168072991E1,9.601017195E2,9.278684082E2,1.590000033E0,3.290000000E2,6.696096720E-2,1.098083782E1,9.261352539E0,1.300000000E1
3.430966952E1,3.621239587E1,-8.168074991E1,9.586956994E2,9.264624023E2,1.120000005E0,3.413999939E2,6.797544353E-2,1.034734440E1,9.871705055E0,1.700000000E1
3.530882837E1,3.621239536E1,-8.168076120E1,9.584098027E2,9.261765137E2,7.900000215E-1,6.300000191E0,6.883659581E-2,1.096575737E1,1.077773857E1,1.800000000E1
3.630921702E1,3.621240188E1,-8.168076638E1,9.579572844E2,9.257239990E2,1.279999971E0,1.389999962E1,7.017221648E-2,1.164679718E1,1.083080864E1,2.300000000E1
3.730940780E1,3.621241360E1,-8.168076964E1,9.590113593E2,9.267780762E2,1.350000024E0,1.280000019E1,7.119293349E-2,1.027886581E1,9.070864677E0,2.200000000E1
3.830971264E1,3.621242238E1,-8.168076632E1,9.612054535E2,9.289721680E2,1.429999948E0,1.889999962E1,7.251931581E-2,7.462870598E0,7.222199440E0,2.200000000E1
3.930883295E1,3.621243162E1,-8.168075697E1,9.643768468E2,9.321435547E2,1.330000043E0,2.710000038E1,7.392639364E-2,5.704117298E0,5.749430656E0,2.400000000E1
4.030918170E1,3.621244210E1,-8.168074818E1,9.650620338E2,9.328287354E2,1.649999976E0,2.379999924E1,7.541004205E-2,4.612422943E0,4.495005608E0,2.400000000E1
4.130925733E1,3.621245508E1,-8.168074435E1,9.654267826E2,9.331934814E2,1.509999990E0,3.700000048E0,7.659423610E-2,4.128186703E0,3.872081518E0,2.400000000E1
4.230940842E1,3.621246475E1,-8.168074988E1,9.659288539E2,9.336955566E2,1.190000057E0,3.267999878E2,7.803534431E-2,3.790092468E0,3.348139048E0,2.600000000E1
4.330961358E1,3.621247363E1,-8.168076158E1,9.664293339E2,9.341960449E2,1.250000000E0,3.058999939E2,7.964950198E-2,3.790092468E0,2.951280355E0,2.600000000E1
4.430946144E1,3.621248082E1,-8.168077721E1,9.658846451E2,9.336513672E2,1.490000010E0,2.906000061E2,8.106396809E-2,3.790092468E0,2.703606844E0,2.400000000E1
4.530935733E1,3.621249017E1,-8.168078790E1,9.659395692E2,9.337062988E2,1.090000033E0,3.142999878E2,8.260097666E-2,3.790092468E0,2.500000000E0,2.400000000E1
4.630953290E1,3.621250376E1,-8.168079103E1,9.662203287E2,9.339870605E2,1.570000052E0,3.412000122E2,8.444716425E-2,3.790092468E0,2.500000000E0,2.400000000E1
4.730979608E1,3.621252033E1,-8.168078973E1,9.662597584E2,9.340264893E2,1.590000033E0,3.299999952E0,8.637875452E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.830961404E1,3.621253767E1,-8.168078844E1,9.666773619E2,9.344440918E2,1.740000010E0,3.572999878E2,8.835136271E-2,3.790092468E0,2.500000000E0,2.100000000E1
4.930876654E1,3.621255512E1,-8.168079240E1,9.670110994E2,9.347778320E2,1.799999952E0,3.421000061E2,9.053670998E-2,3.790092468E0,2.500000000E0,2.200000000E1
5.030893451E1,3.621257038E1,-8.168080775E1,9.666740524E2,9.344407959E2,2.240000010E0,3.177000122E2,9.276655492E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.130894962E1,3.621258090E1,-8.168082891E1,9.665721087E2,9.343388672E2,1.820000052E0,3.005000000E2,9.493997434E-2,3.790092468E0,2.500000000E0,2.400000000E1
5.230946092E1,3.621258777E1,-8.168085159E1,9.671145731E2,9.348813477E2,1.870000005E0,2.898999939E2,9.694216385E-2,3.790092468E0,2.500000000E0,2.400000000E1
5.330906488E1,3.621259239E1,-8.168087316E1,9.668923898E2,9.346591797E2,1.789999962E0,2.930000000E2,9.884422684E-2,3.790092468E0,2.500000000E0,2.600000000E1
5.430883066E1,3.621259727E1,-8.168089348E1,9.678782152E2,9.356450195E2,1.690000057E0,2.947000122E2,1.006882683E-1,3.790092468E0,2.500000000E0,2.600000000E1
5.530926008E1,3.621260244E1,-8.168091301E1,9.683266877E2,9.360935059E2,1.690000057E0,2.956000061E2,1.025138208E-1,3.790092468E0,2.500000000E0,2.700000000E1
5.630881508E1,3.621260790E1,-8.168093220E1,9.686995989E2,9.364664307E2,1.700000048E0,2.962000122E2,1.041634542E-1,3.790092468E0,2.500000000E0,2.700000000E1
5.730969998E1,3.621261382E1,-8.168094906E1,9.686452657E2,9.364121094E2,1.639999986E0,2.998999939E2,1.057284605E-1,3.790092468E0,2.500000000E0,2.700000000E1
5.830919076E1,3.621262074E1,-8.168096425E1,9.682321690E2,9.359990234E2,1.639999986E0,3.027000122E2,1.073439946E-1,3.790092468E0,2.500000000E0,2.800000000E1
5.930878420E1,3.621262823E1,-8.168097968E1,9.683408006E2,9.361076660E2,1.720000029E0,3.032999878E2,1.089742607E-1,3.790092468E0,2.500000000E0,2.800000000E1
6.030924966E1,3.621263686E1,-8.168099437E1,9.685509953E2,9.363178711E2,1.700000048E0,3.046000061E2,1.106571145E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.130961951E1,3.621264599E1,-8.168100933E1,9.686894124E2,9.364562988E2,1.809999943E0,3.065000000E2,1.124057016E-1,3.790092468E0,2.500000000E0,2.600000000E1
6.230877638E1,3.621265606E1,-8.168102430E1,9.687943823E2,9.365612793E2,1.779999971E0,3.082999878E2,1.140904474E-1,3.790092468E0,2.500000000E0,2.600000000E1
6.330907341E1,3.621266459E1,-8.168103982E1,9.690670764E2,9.368339844E2,1.769999981E0,3.002999878E2,1.157550916E-1,3.790092468E0,2.500000000E0,2.800000000E1
6.430954529E1,3.621267253E1,-8.168105555E1,9.692578611E2,9.370247803E2,1.700000048E0,3.027000122E2,1.174105499E-1,3.790092468E0,2.500000000E0,2.800000000E1
6.530892945E1,3.621268018E1,-8.168107138E1,9.693634407E2,9.371303711E2,1.700000048E0,3.032000122E2,1.190507956E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.630917841E1,3.621268799E1,-8.168108689E1,9.695787618E2,9.373457031E2,1.679999948E0,3.075000000E2,1.207699271E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.730912508E1,3.621269757E1,-8.168110193E1,9.696202550E2,9.373872070E2,1.750000000E0,3.111000061E2,1.224910823E-1,3.790092468E0,2.500000000E0,2.700000000E1
