"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.209976300E-2,-4.123337194E-2,-1.256854236E-1,-5.497782957E-3,1.323904917E-1
2.425689800E-2,-4.123337194E-2,-1.244636998E-1,-5.497782957E-3,1.312312049E-1
2.641413800E-2,-4.245510325E-2,-1.305723488E-1,-7.941242307E-3,1.375304963E-1
2.857127300E-2,-4.245510325E-2,-1.220202371E-1,-1.038470119E-2,1.296117899E-1
3.072851300E-2,-4.123337194E-2,-1.256854236E-1,-1.038470119E-2,1.326833022E-1
3.288564800E-2,-4.001164436E-2,-1.232419685E-1,-9.162971750E-3,1.298979389E-1
3.504288800E-2,-4.001164436E-2,-1.232419685E-1,-6.719512399E-3,1.297484733E-1
3.720002300E-2,-3.878991306E-2,-1.281288862E-1,-1.832594397E-3,1.338843801E-1
3.935721100E-2,-3.878991306E-2,-1.305723488E-1,1.832594397E-3,1.362246455E-1
4.151439800E-2,-3.878991306E-2,-1.281288862E-1,4.276053514E-3,1.339401115E-1
4.367158600E-2,-3.878991306E-2,-1.293506175E-1,6.719512399E-3,1.352086959E-1
4.582877300E-2,-3.756818548E-2,-1.305723488E-1,9.162971750E-3,1.361780705E-1
4.798596100E-2,-3.512472659E-2,-1.244636998E-1,9.162971750E-3,1.296492153E-1
5.014314800E-2,-3.512472659E-2,-1.183550507E-1,1.038470119E-2,1.238931251E-1
5.230033600E-2,-3.512472659E-2,-1.110246703E-1,1.038470119E-2,1.169105036E-1
5.445752300E-2,-3.756818548E-2,-1.098029464E-1,1.038470119E-2,1.165156540E-1
5.661471100E-2,-3.878991306E-2,-1.085812151E-1,9.162971750E-3,1.156654559E-1
5.877189800E-2,-4.367683083E-2,-1.122464016E-1,7.941242307E-3,1.207061869E-1
6.092908600E-2,-4.612028971E-2,-1.122464016E-1,7.941242307E-3,1.216116735E-1
6.308627300E-2,-5.100720748E-2,-1.183550507E-1,5.497782957E-3,1.289956544E-1
6.524346100E-2,-5.711585656E-2,-1.244636998E-1,5.497782957E-3,1.370534905E-1
6.740064800E-2,-6.322450191E-2,-1.379027218E-1,5.497782957E-3,1.518048877E-1
6.955783600E-2,-6.933315098E-2,-1.403461844E-1,6.719512399E-3,1.566821277E-1
7.171502300E-2,-7.299833745E-2,-1.440113783E-1,7.941242307E-3,1.616511605E-1
7.387221100E-2,-8.032871783E-2,-1.537852138E-1,9.162971750E-3,1.737427839E-1
7.602934600E-2,-8.521563560E-2,-1.635590494E-1,9.162971750E-3,1.846543453E-1
7.818658600E-2,-9.132428467E-2,-1.745546162E-1,1.038470119E-2,1.972746335E-1
