"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.226510900E-2,6.017018110E-2,-6.215549260E-2,-7.635809598E-4,8.651207436E-2
2.442245300E-2,4.306596518E-2,-5.726857483E-2,-7.635809598E-4,7.165856596E-2
2.657974500E-2,2.474002354E-2,-4.871646687E-2,-7.635809598E-4,5.464380994E-2
2.873703600E-2,6.414080039E-3,-3.527744114E-2,-7.635809598E-4,3.586392801E-2
3.089438000E-2,-1.069013402E-2,-1.939495653E-2,4.581485991E-4,2.215069309E-2
3.305167200E-2,-2.535088919E-2,-4.734201822E-3,4.581485991E-4,2.579321907E-2
3.520896400E-2,-3.634645417E-2,1.603520103E-2,1.679878100E-3,3.976197170E-2
3.736630700E-2,-3.756818548E-2,2.947422490E-2,4.581485991E-4,4.775257473E-2
3.952359900E-2,-3.634645417E-2,3.436114267E-2,4.581485991E-4,5.001962371E-2
4.168089100E-2,-3.756818548E-2,3.436114267E-2,4.581485991E-4,5.091430630E-2
4.383823400E-2,-3.390299529E-2,2.458730713E-2,4.581485991E-4,4.188267734E-2
4.599552600E-2,-3.512472659E-2,1.114828233E-2,4.581485991E-4,3.685431477E-2
4.815281800E-2,-3.268126398E-2,-5.955931731E-3,4.581485991E-4,3.322270366E-2
5.031016100E-2,-2.901607752E-2,-2.183841541E-2,4.581485991E-4,3.631885244E-2
5.246745300E-2,-2.168569900E-2,-3.039052337E-2,1.679878100E-3,3.737212119E-2
5.462474500E-2,-1.191186346E-2,-3.527744114E-2,1.679878100E-3,3.727213886E-2
5.678203600E-2,1.527161920E-3,-2.672533318E-2,-7.635809598E-4,2.677981914E-2
5.893938000E-2,1.252272818E-2,-1.450803876E-2,4.581485991E-4,1.917059754E-2
6.109667200E-2,2.718348242E-2,7.483093534E-3,-7.635809598E-4,2.820499001E-2
6.325396400E-2,3.329212964E-2,1.481347065E-2,-7.635809598E-4,3.644705563E-2
6.541130700E-2,4.062250629E-2,1.847865991E-2,-7.635809598E-4,4.463442556E-2
6.756859900E-2,3.940077871E-2,2.336557768E-2,-7.635809598E-4,4.581434971E-2
6.972589100E-2,3.573558852E-2,1.603520103E-2,-7.635809598E-4,3.917579629E-2
7.188323400E-2,2.718348242E-2,8.704823442E-3,-7.635809598E-4,2.855343629E-2
7.404052600E-2,1.740964688E-2,-3.512472380E-3,-7.635809598E-4,1.777684794E-2
7.619787000E-2,2.748891478E-3,-1.084284950E-2,4.581485991E-4,1.119525300E-2
7.835516100E-2,-7.024944760E-3,-1.939495653E-2,4.581485991E-4,2.063308236E-2
8.051245300E-2,-1.435532235E-2,-2.061668597E-2,4.581485991E-4,2.512633917E-2
8.266974500E-2,-1.679878123E-2,-1.328630932E-2,4.581485991E-4,2.142276747E-2
